,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,30.0,1.0,2.0,4.0,13.0,6.0,10.0,5.0,7,8.0,91.0,0,6,1
1,55.0,1.0,2.0,4.0,13.0,6.0,10.0,5.0,15,4.0,200.0,0,15,0
2,30.0,1.0,2.0,4.0,13.0,6.0,10.0,5.0,7,8.0,91.0,0,6,1
3,30.0,1.0,2.0,4.0,12.0,6.0,10.0,5.0,7,8.0,91.0,0,6,1
4,30.0,1.0,2.0,4.0,13.0,3.0,10.0,5.0,7,8.0,91.0,0,6,1
5,30.0,1.0,2.0,4.0,13.0,6.0,11.0,5.0,7,8.0,91.0,0,6,1
6,30.0,1.0,2.0,4.0,13.0,6.0,10.0,3.0,7,8.0,91.0,0,6,1
7,55.0,1.0,1.0,4.0,12.0,3.0,11.0,3.0,7,51.0,53.0,0,7,0
8,97.0,1.0,2.0,6.0,15.0,2.0,13.0,2.0,25,0.0,373.0,0,25,0
9,33.0,1.0,2.0,6.0,15.0,2.0,13.0,2.0,12,0.0,119.0,0,12,0
10,97.0,1.0,2.0,6.0,15.0,2.0,13.0,2.0,25,0.0,373.0,0,25,0
11,97.0,1.0,2.0,4.0,15.0,2.0,13.0,2.0,18,14.0,359.0,0,18,0
12,97.0,1.0,2.0,6.0,14.0,2.0,13.0,2.0,25,0.0,373.0,0,25,0
13,97.0,1.0,2.0,6.0,15.0,2.0,13.0,2.0,25,0.0,373.0,0,25,0
14,97.0,1.0,2.0,6.0,15.0,2.0,19.0,2.0,25,0.0,373.0,0,25,0
15,97.0,1.0,2.0,6.0,15.0,2.0,13.0,2.0,25,0.0,373.0,0,25,0
16,33.0,1.0,2.0,4.0,14.0,2.0,19.0,2.0,7,7.0,112.0,0,7,0
17,52.0,1.0,1.0,3.0,10.0,4.0,18.0,4.0,13,106.0,5.0,11,0,1
18,86.0,1.0,2.0,5.0,17.0,2.0,19.0,4.0,26,0.0,320.0,0,26,0
19,86.0,1.0,1.0,4.0,18.0,2.0,18.0,2.0,11,64.0,97.0,0,11,0
20,89.0,1.0,2.0,4.0,18.0,2.0,18.0,2.0,16,13.0,312.0,0,16,0
