,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,29.8,1.0,1.1,3.1,3.7,2.1,4.6,1.2,7,10.0,89.0,0,5,2
1,90.9,2.0,1.1,3.1,3.7,2.1,4.6,1.2,3,0.0,330.0,0,3,0
2,29.8,1.0,1.5,3.1,3.7,2.1,4.6,1.2,1,10.0,89.0,0,1,0
3,29.8,2.0,1.5,3.1,3.7,2.1,4.6,1.2,1,2.0,126.0,0,1,0
4,29.8,2.0,1.1,1.3,3.7,2.1,4.6,1.2,1,95.0,33.0,0,1,0
5,29.8,1.0,1.1,3.1,1.3,2.1,4.6,1.2,21,80.0,19.0,0,21,0
6,29.8,2.0,1.1,3.1,1.3,2.1,4.6,1.2,21,20.0,108.0,0,21,0
7,29.8,1.0,1.1,3.1,3.7,2.0,4.6,1.2,12,10.0,89.0,0,12,0
8,29.8,2.0,1.1,3.1,3.7,2.0,4.6,1.2,12,2.0,126.0,0,12,0
9,29.8,1.0,1.1,3.1,3.7,2.1,1.6,1.2,2,10.0,89.0,0,2,0
10,29.8,2.0,1.1,3.1,3.7,2.1,1.6,1.2,2,2.0,126.0,0,2,0
11,29.8,1.0,1.1,3.1,3.7,2.1,4.6,2.9,1,10.0,89.0,0,1,0
12,29.8,2.0,1.1,3.1,3.7,2.1,4.6,2.9,1,2.0,126.0,0,1,0
13,90.9,2.0,1.1,1.3,1.3,2.0,1.6,2.9,3,327.0,3.0,0,3,0
14,90.9,1.0,1.5,3.1,1.3,2.0,1.6,2.9,1,275.0,78.0,0,1,0
15,90.9,1.5,1.5,3.1,1.3,2.0,1.6,2.9,1,50.0,313.0,0,1,0
16,90.9,2.0,1.5,3.1,1.3,2.0,1.6,2.9,1,64.0,266.0,0,1,0
17,90.9,2.0,1.5,1.3,3.7,2.0,1.6,2.9,1,292.0,38.0,0,1,0
18,90.9,1.0,1.5,1.3,1.3,2.1,1.6,2.9,10,353.0,0.0,10,0,0
19,74.8,1.5,1.6,3.3,1.7,4.1,2.6,3.7,1,33.0,273.0,0,0,0
20,74.8,2.0,1.6,1.1,1.7,4.0,2.6,3.7,3,200.0,14.0,0,3,0
21,74.8,2.0,1.6,1.1,1.7,4.1,3.6,3.7,1,190.0,24.0,0,1,0
22,74.8,2.0,1.6,1.1,1.7,4.1,2.6,5.4,1,190.0,24.0,0,1,0
23,74.8,2.0,1.0,3.3,3.3,4.0,3.6,5.4,7,1.0,127.0,0,5,2
24,45.9,2.0,1.6,3.3,3.3,4.0,3.6,5.4,3,1.0,204.0,0,3,0
25,45.9,2.0,1.0,1.1,3.3,4.0,3.6,5.4,1,108.0,23.0,0,1,0
26,45.9,2.0,1.0,3.3,1.7,4.0,3.6,5.4,1,15.0,116.0,0,1,0
27,45.9,1.5,1.0,3.3,3.3,4.1,3.6,5.4,7,0.0,109.0,0,5,2
28,45.9,2.5,1.0,3.3,3.3,4.1,3.6,5.4,7,0.0,93.0,0,5,2
29,45.9,2.0,1.0,3.3,3.3,4.0,2.6,5.4,3,1.0,130.0,0,3,0
30,45.9,2.5,1.0,3.3,3.3,4.0,2.6,5.4,3,0.0,93.0,0,3,0
31,45.9,2.0,1.0,3.3,3.3,4.0,3.6,3.7,1,1.0,130.0,0,1,0
32,45.9,2.5,1.0,3.3,3.3,4.0,3.6,3.7,1,0.0,93.0,0,1,0
33,45.9,2.0,1.0,3.3,3.3,4.0,3.6,5.4,1,1.0,130.0,0,1,0
34,45.9,2.5,1.0,3.3,3.3,4.0,3.6,5.4,1,0.0,93.0,0,1,0
35,97.3,1.0,1.3,4.1,4.7,3.1,1.6,2.5,10,0.0,373.0,10,0,0
36,23.4,1.0,1.3,4.1,4.7,3.1,1.6,2.5,4,0.0,103.0,4,0,0
37,97.3,1.0,1.3,4.3,4.7,3.1,1.6,2.5,1,0.0,373.0,1,0,0
38,97.3,1.0,1.3,4.1,4.3,3.1,1.6,2.5,27,0.0,373.0,27,0,0
39,97.3,1.0,1.3,4.1,4.7,3.0,1.6,2.5,13,0.0,373.0,12,0,0
40,97.3,1.0,1.3,4.1,4.7,3.1,2.6,2.5,2,0.0,373.0,2,0,0
41,97.3,1.0,1.3,4.1,4.7,3.1,1.6,1.7,1,0.0,373.0,1,0,0
42,23.4,1.0,1.3,4.3,4.3,3.1,2.6,1.7,27,0.0,103.0,27,0,0
43,52.3,1.0,1.8,2.1,2.7,1.1,3.6,5.0,27,211.0,8.0,27,0,0
44,52.3,2.5,1.8,2.1,2.7,1.1,3.6,5.0,27,135.0,13.0,27,0,0
45,68.4,1.0,1.8,2.1,2.7,1.1,3.6,5.0,13,252.0,6.0,12,0,0
46,68.4,1.5,1.8,2.1,2.7,1.1,3.6,5.0,13,219.0,21.0,12,0,0
47,68.4,2.0,1.8,2.1,2.7,1.1,3.6,5.0,13,193.0,21.0,12,0,0
48,68.4,2.5,1.8,2.1,2.7,1.1,3.6,5.0,13,174.0,67.0,12,0,0
49,52.3,1.0,1.8,2.1,2.7,1.1,3.6,5.0,2,211.0,8.0,2,0,0
50,52.3,1.5,1.8,2.1,2.7,1.1,3.6,5.0,2,175.0,26.0,2,0,0
51,52.3,2.5,1.8,2.1,2.7,1.1,3.6,5.0,2,135.0,13.0,2,0,0
52,52.3,1.0,1.8,2.3,2.7,1.1,3.6,5.0,1,211.0,8.0,0,0,0
53,52.3,1.5,1.8,2.3,2.7,1.1,3.6,5.0,1,175.0,26.0,0,0,0
54,52.3,2.0,1.8,2.3,2.7,1.1,3.6,5.0,1,193.0,21.0,0,0,0
55,52.3,2.5,1.8,2.3,2.7,1.1,3.6,5.0,1,135.0,13.0,0,0,0
