,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,29.8,1.0,1.1,3.1,8.7,2.1,4.6,1.2,7,8.0,91.0,0,6,1
1,29.8,2.0,1.1,3.1,8.7,2.1,4.6,1.2,7,1.0,127.0,0,6,1
2,90.9,2.0,1.1,3.1,8.7,2.1,4.6,1.2,3,0.0,330.0,0,3,0
3,29.8,1.0,1.5,3.1,8.7,2.1,4.6,1.2,2,8.0,91.0,0,2,0
4,29.8,2.0,1.5,3.1,8.7,2.1,4.6,1.2,2,1.0,127.0,0,2,0
5,29.8,2.0,1.1,1.3,8.7,2.1,4.6,1.2,1,93.0,35.0,0,1,0
6,29.8,1.0,1.1,3.1,6.3,2.1,4.6,1.2,23,9.0,90.0,0,23,0
7,29.8,2.0,1.1,3.1,6.3,2.1,4.6,1.2,23,1.0,127.0,0,23,0
8,29.8,1.0,1.1,3.1,8.7,2.0,4.6,1.2,12,8.0,91.0,0,12,0
9,29.8,2.0,1.1,3.1,8.7,2.0,4.6,1.2,12,1.0,127.0,0,12,0
10,29.8,1.0,1.1,3.1,8.7,2.1,1.6,1.2,2,8.0,91.0,0,2,0
11,29.8,2.0,1.1,3.1,8.7,2.1,1.6,1.2,2,1.0,127.0,0,2,0
12,29.8,1.0,1.1,3.1,8.7,2.1,4.6,2.9,1,8.0,91.0,0,1,0
13,29.8,2.0,1.1,3.1,8.7,2.1,4.6,2.9,1,1.0,127.0,0,1,0
14,29.8,2.0,1.5,1.3,6.3,2.0,1.6,2.9,7,112.0,16.0,0,6,1
15,90.9,2.0,1.1,1.3,6.3,2.0,1.6,2.9,3,263.0,67.0,0,3,0
16,90.9,2.0,1.5,3.1,6.3,2.0,1.6,2.9,2,0.0,330.0,0,2,0
17,90.9,2.0,1.5,1.3,8.7,2.0,1.6,2.9,1,258.0,72.0,0,1,0
18,90.9,1.0,1.5,1.3,6.3,2.1,1.6,2.9,10,343.0,10.0,10,0,0
19,74.8,2.0,1.6,1.1,6.7,4.1,2.6,3.7,6,148.0,66.0,0,5,1
20,45.9,2.0,1.6,1.1,6.7,4.1,2.6,3.7,3,140.0,65.0,0,3,0
21,74.8,2.0,1.0,1.1,6.7,4.1,2.6,3.7,2,103.0,25.0,0,2,0
22,74.8,2.0,1.6,3.3,6.7,4.1,2.6,3.7,1,1.0,213.0,0,1,0
23,74.8,2.0,1.6,1.1,8.3,4.1,2.6,3.7,7,147.0,67.0,0,6,1
24,74.8,2.0,1.6,1.1,6.7,4.0,2.6,3.7,3,148.0,66.0,0,3,0
25,74.8,2.0,1.6,1.1,6.7,4.1,3.6,3.7,2,148.0,66.0,0,2,0
26,74.8,2.0,1.6,1.1,6.7,4.1,2.6,5.4,1,148.0,66.0,0,1,0
27,74.8,2.0,1.0,3.3,8.3,4.0,3.6,5.4,7,1.0,127.0,0,6,1
28,45.9,2.0,1.6,3.3,8.3,4.0,3.6,5.4,3,0.0,205.0,0,3,0
29,45.9,2.0,1.0,1.1,8.3,4.0,3.6,5.4,2,106.0,25.0,0,2,0
30,45.9,2.0,1.0,3.3,6.7,4.0,3.6,5.4,1,0.0,131.0,0,1,0
31,45.9,2.0,1.0,3.3,8.3,4.1,3.6,5.4,7,0.0,131.0,0,6,1
32,45.9,2.0,1.0,3.3,8.3,4.0,2.6,5.4,3,0.0,131.0,0,3,0
33,45.9,2.0,1.0,3.3,8.3,4.0,3.6,3.7,2,0.0,131.0,0,2,0
34,45.9,2.0,1.0,3.3,8.3,4.0,3.6,5.4,1,0.0,131.0,0,1,0
35,97.3,1.0,1.3,4.1,9.7,3.1,1.6,2.5,10,0.0,373.0,10,0,0
36,97.3,1.0,1.3,4.1,9.3,3.1,1.6,2.5,27,0.0,373.0,26,0,0
