,0,1,2,3,4,5,6
0,30.0,1.0,4.0,7.0,2.0,9.0,1.0
1,91.0,1.0,4.0,7.0,2.0,9.0,1.0
2,30.0,2.0,4.0,7.0,2.0,9.0,1.0
3,30.0,1.0,1.0,7.0,2.0,9.0,1.0
4,30.0,1.0,4.0,2.0,2.0,9.0,1.0
5,30.0,1.0,4.0,7.0,2.0,9.0,1.0
6,30.0,1.0,4.0,7.0,2.0,2.0,1.0
7,30.0,1.0,4.0,7.0,2.0,9.0,3.0
8,30.0,2.0,1.0,2.0,2.0,2.0,3.0
9,91.0,1.0,1.0,2.0,2.0,2.0,3.0
10,91.0,2.0,4.0,2.0,2.0,2.0,3.0
11,91.0,2.0,1.0,7.0,2.0,2.0,3.0
12,91.0,2.0,1.0,2.0,2.0,2.0,3.0
13,91.0,2.0,1.0,2.0,2.0,9.0,3.0
14,91.0,2.0,1.0,2.0,2.0,2.0,1.0
15,91.0,2.0,1.0,2.0,2.0,2.0,3.0
16,75.0,2.0,1.0,3.0,5.0,5.0,4.0
17,46.0,2.0,1.0,3.0,5.0,5.0,4.0
18,75.0,1.0,1.0,3.0,5.0,5.0,4.0
19,75.0,2.0,4.0,3.0,5.0,5.0,4.0
20,75.0,2.0,1.0,6.0,5.0,5.0,4.0
21,75.0,2.0,1.0,3.0,5.0,5.0,4.0
22,75.0,2.0,1.0,3.0,5.0,7.0,4.0
23,75.0,2.0,1.0,3.0,5.0,5.0,5.0
24,75.0,1.0,4.0,6.0,5.0,7.0,5.0
25,46.0,2.0,4.0,6.0,5.0,7.0,5.0
26,46.0,1.0,1.0,6.0,5.0,7.0,5.0
27,46.0,1.0,4.0,3.0,5.0,7.0,5.0
28,46.0,1.0,4.0,6.0,5.0,7.0,5.0
29,46.0,1.0,4.0,6.0,5.0,5.0,5.0
30,46.0,1.0,4.0,6.0,5.0,7.0,4.0
31,46.0,1.0,4.0,6.0,5.0,7.0,5.0
32,97.0,2.0,5.0,9.0,4.0,2.0,2.0
33,23.0,2.0,5.0,9.0,4.0,2.0,2.0
34,97.0,2.0,5.0,9.0,4.0,2.0,2.0
35,97.0,2.0,5.0,9.0,4.0,2.0,2.0
36,97.0,2.0,5.0,9.0,4.0,2.0,2.0
37,97.0,2.0,5.0,9.0,4.0,2.0,2.0
38,97.0,2.0,5.0,9.0,4.0,5.0,2.0
39,97.0,2.0,5.0,9.0,4.0,2.0,2.0
40,97.0,2.0,5.0,9.0,4.0,5.0,2.0
41,23.0,2.0,5.0,9.0,4.0,5.0,2.0
42,23.0,2.0,5.0,9.0,4.0,5.0,2.0
43,23.0,2.0,5.0,9.0,4.0,5.0,2.0
44,23.0,2.0,5.0,9.0,4.0,5.0,2.0
45,23.0,2.0,5.0,9.0,4.0,2.0,2.0
46,23.0,2.0,5.0,9.0,4.0,5.0,2.0
47,23.0,2.0,5.0,9.0,4.0,5.0,2.0
48,52.0,3.0,2.0,5.0,1.0,7.0,5.0
49,68.0,3.0,2.0,5.0,1.0,7.0,5.0
50,52.0,3.0,2.0,5.0,1.0,7.0,5.0
51,52.0,3.0,3.0,5.0,1.0,7.0,5.0
52,52.0,3.0,2.0,4.0,1.0,7.0,5.0
53,52.0,3.0,2.0,5.0,1.0,7.0,5.0
54,52.0,3.0,2.0,5.0,1.0,9.0,5.0
55,52.0,3.0,2.0,5.0,1.0,7.0,4.0
56,52.0,3.0,3.0,4.0,1.0,9.0,4.0
57,68.0,3.0,3.0,4.0,1.0,9.0,4.0
58,68.0,3.0,2.0,4.0,1.0,9.0,4.0
59,68.0,3.0,3.0,5.0,1.0,9.0,4.0
60,68.0,3.0,3.0,4.0,1.0,9.0,4.0
61,68.0,3.0,3.0,4.0,1.0,7.0,4.0
62,68.0,3.0,3.0,4.0,1.0,9.0,5.0
63,68.0,3.0,3.0,4.0,1.0,9.0,4.0
64,41.0,2.0,2.0,4.0,2.0,8.0,3.0
65,12.0,2.0,2.0,4.0,2.0,8.0,3.0
66,41.0,2.0,2.0,4.0,2.0,8.0,3.0
67,41.0,2.0,4.0,4.0,2.0,8.0,3.0
68,41.0,2.0,2.0,10.0,2.0,8.0,3.0
69,41.0,2.0,2.0,4.0,2.0,8.0,3.0
70,41.0,2.0,2.0,4.0,2.0,4.0,3.0
71,41.0,2.0,2.0,4.0,2.0,8.0,5.0
72,41.0,2.0,4.0,10.0,2.0,4.0,5.0
73,12.0,2.0,4.0,10.0,2.0,4.0,5.0
74,12.0,2.0,2.0,10.0,2.0,4.0,5.0
75,12.0,2.0,4.0,4.0,2.0,4.0,5.0
76,12.0,2.0,4.0,10.0,2.0,4.0,5.0
77,12.0,2.0,4.0,10.0,2.0,8.0,5.0
78,12.0,2.0,4.0,10.0,2.0,4.0,3.0
79,12.0,2.0,4.0,10.0,2.0,4.0,5.0
80,86.0,3.0,4.0,8.0,4.0,4.0,6.0
81,57.0,3.0,4.0,8.0,4.0,4.0,6.0
82,86.0,3.0,4.0,8.0,4.0,4.0,6.0
83,86.0,3.0,2.0,8.0,4.0,4.0,6.0
84,86.0,3.0,4.0,5.0,4.0,4.0,6.0
85,86.0,3.0,4.0,8.0,4.0,4.0,6.0
86,86.0,3.0,4.0,8.0,4.0,8.0,6.0
87,86.0,3.0,4.0,8.0,4.0,4.0,2.0
88,86.0,3.0,2.0,5.0,4.0,8.0,2.0
89,57.0,3.0,2.0,5.0,4.0,8.0,2.0
90,57.0,3.0,4.0,5.0,4.0,8.0,2.0
91,57.0,3.0,2.0,8.0,4.0,8.0,2.0
92,57.0,3.0,2.0,5.0,4.0,8.0,2.0
93,57.0,3.0,2.0,5.0,4.0,4.0,2.0
94,57.0,3.0,2.0,5.0,4.0,8.0,6.0
95,57.0,3.0,2.0,5.0,4.0,8.0,2.0
96,64.0,1.0,3.0,1.0,6.0,1.0,2.0
97,80.0,1.0,3.0,1.0,6.0,1.0,2.0
98,64.0,2.0,3.0,1.0,6.0,1.0,2.0
99,64.0,1.0,3.0,1.0,6.0,1.0,2.0
100,64.0,1.0,3.0,3.0,6.0,1.0,2.0
101,64.0,1.0,3.0,1.0,5.0,1.0,2.0
102,64.0,1.0,3.0,1.0,6.0,1.0,2.0
103,64.0,1.0,3.0,1.0,6.0,1.0,4.0
104,64.0,2.0,3.0,3.0,5.0,1.0,4.0
105,80.0,1.0,3.0,3.0,5.0,1.0,4.0
106,80.0,2.0,3.0,3.0,5.0,1.0,4.0
107,80.0,2.0,3.0,1.0,5.0,1.0,4.0
108,80.0,2.0,3.0,3.0,6.0,1.0,4.0
109,80.0,2.0,3.0,3.0,5.0,1.0,4.0
110,80.0,2.0,3.0,3.0,5.0,1.0,2.0
111,80.0,2.0,3.0,3.0,5.0,1.0,4.0
112,19.0,2.0,5.0,6.0,3.0,6.0,4.0
113,35.0,2.0,5.0,6.0,3.0,6.0,4.0
114,19.0,1.0,5.0,6.0,3.0,6.0,4.0
115,19.0,2.0,6.0,6.0,3.0,6.0,4.0
116,19.0,2.0,5.0,7.0,3.0,6.0,4.0
117,19.0,2.0,5.0,6.0,3.0,6.0,4.0
118,19.0,2.0,5.0,6.0,3.0,6.0,4.0
119,19.0,2.0,5.0,6.0,3.0,6.0,1.0
120,19.0,1.0,6.0,7.0,3.0,6.0,1.0
121,35.0,2.0,6.0,7.0,3.0,6.0,1.0
122,35.0,1.0,5.0,7.0,3.0,6.0,1.0
123,35.0,1.0,6.0,6.0,3.0,6.0,1.0
124,35.0,1.0,6.0,7.0,3.0,6.0,1.0
125,35.0,1.0,6.0,7.0,3.0,6.0,1.0
126,35.0,1.0,6.0,7.0,3.0,6.0,4.0
127,35.0,1.0,6.0,7.0,3.0,6.0,1.0
128,16.0,1.0,1.0,5.0,4.0,3.0,6.0
129,83.0,1.0,1.0,5.0,4.0,3.0,6.0
