,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,30.0,1.0,2.0,4.0,4.0,6.0,1.0,5.0,7,10.0,89.0,0,5,2
1,55.0,1.0,2.0,4.0,4.0,6.0,1.0,5.0,14,5.0,199.0,0,14,0
2,30.0,1.0,2.0,4.0,4.0,6.0,1.0,5.0,7,10.0,89.0,0,5,2
3,30.0,1.0,1.0,4.0,4.0,6.0,1.0,5.0,3,26.0,20.0,0,2,0
4,30.0,1.0,2.0,2.0,4.0,6.0,1.0,5.0,10,99.0,0.0,10,0,0
5,30.0,1.0,2.0,4.0,2.0,6.0,1.0,5.0,10,80.0,19.0,6,0,2
6,30.0,1.0,2.0,4.0,4.0,3.0,1.0,5.0,7,10.0,89.0,0,5,2
7,30.0,1.0,2.0,4.0,4.0,6.0,2.0,5.0,7,10.0,89.0,0,5,2
8,30.0,1.0,2.0,4.0,4.0,6.0,1.0,3.0,7,10.0,89.0,0,5,2
9,30.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3,46.0,0.0,3,0,0
10,55.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,8,104.0,0.0,8,0,0
11,55.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,18,204.0,0.0,18,0,0
12,55.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,8,94.0,10.0,4,0,3
13,55.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,8,104.0,0.0,8,0,0
14,55.0,1.0,1.0,2.0,2.0,6.0,2.0,3.0,8,104.0,0.0,8,0,0
15,55.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,8,104.0,0.0,8,0,0
16,55.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,8,104.0,0.0,8,0,0
17,55.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,8,104.0,0.0,8,0,0
18,75.0,2.0,1.0,2.0,8.0,3.0,6.0,3.0,5,118.0,10.0,2,0,0
19,10.0,2.0,1.0,2.0,8.0,3.0,6.0,3.0,3,74.0,6.0,1,0,0
20,75.0,2.0,1.0,2.0,8.0,3.0,6.0,3.0,5,118.0,10.0,2,0,0
21,75.0,2.0,2.0,2.0,8.0,3.0,6.0,3.0,3,170.0,44.0,0,0,0
22,75.0,2.0,1.0,5.0,8.0,3.0,6.0,3.0,5,0.0,128.0,0,5,0
23,75.0,2.0,1.0,2.0,7.0,3.0,6.0,3.0,5,118.0,10.0,2,0,0
24,75.0,2.0,1.0,2.0,8.0,5.0,6.0,3.0,5,103.0,25.0,0,0,0
25,75.0,2.0,1.0,2.0,8.0,3.0,7.0,3.0,5,118.0,10.0,2,0,0
26,75.0,2.0,1.0,2.0,8.0,3.0,6.0,5.0,5,124.0,4.0,4,0,0
27,75.0,2.0,2.0,5.0,7.0,5.0,7.0,5.0,3,0.0,214.0,0,3,0
28,10.0,2.0,2.0,5.0,7.0,5.0,7.0,5.0,3,0.0,128.0,0,3,0
29,10.0,2.0,1.0,5.0,7.0,5.0,7.0,5.0,3,0.0,80.0,0,3,0
30,10.0,2.0,2.0,2.0,7.0,5.0,7.0,5.0,3,89.0,39.0,0,0,0
31,10.0,2.0,2.0,5.0,8.0,5.0,7.0,5.0,3,0.0,128.0,0,3,0
32,10.0,2.0,2.0,5.0,7.0,3.0,7.0,5.0,3,0.0,128.0,0,3,0
33,10.0,2.0,2.0,5.0,7.0,5.0,6.0,5.0,3,0.0,128.0,0,3,0
34,10.0,2.0,2.0,5.0,7.0,5.0,7.0,3.0,3,0.0,128.0,0,3,0
35,10.0,2.0,2.0,5.0,7.0,5.0,7.0,5.0,3,0.0,128.0,0,3,0
36,97.0,1.0,2.0,6.0,6.0,2.0,4.0,2.0,25,0.0,373.0,0,25,0
37,33.0,1.0,2.0,6.0,6.0,2.0,4.0,2.0,12,0.0,119.0,0,12,0
38,97.0,2.0,2.0,6.0,6.0,2.0,4.0,2.0,2,0.0,330.0,0,2,0
39,97.0,1.0,2.0,6.0,6.0,2.0,4.0,2.0,25,0.0,373.0,0,25,0
40,97.0,1.0,2.0,4.0,6.0,2.0,4.0,2.0,17,15.0,358.0,0,17,0
41,97.0,1.0,2.0,6.0,5.0,2.0,4.0,2.0,25,0.0,373.0,0,25,0
42,97.0,1.0,2.0,6.0,6.0,2.0,4.0,2.0,25,0.0,373.0,0,25,0
43,97.0,1.0,2.0,6.0,6.0,2.0,9.0,2.0,25,0.0,373.0,0,25,0
44,97.0,1.0,2.0,6.0,6.0,2.0,4.0,2.0,25,0.0,373.0,0,25,0
45,97.0,2.0,2.0,4.0,5.0,2.0,9.0,2.0,2,0.0,330.0,0,2,0
46,33.0,1.0,2.0,4.0,5.0,2.0,9.0,2.0,7,7.0,112.0,0,7,0
47,33.0,2.0,2.0,4.0,5.0,2.0,9.0,2.0,1,2.0,126.0,0,1,0
48,33.0,2.0,2.0,6.0,5.0,2.0,9.0,2.0,3,0.0,128.0,0,3,0
49,33.0,2.0,2.0,4.0,6.0,2.0,9.0,2.0,1,2.0,126.0,0,1,0
50,33.0,2.0,2.0,4.0,5.0,2.0,9.0,2.0,1,2.0,126.0,0,1,0
51,33.0,2.0,2.0,4.0,5.0,2.0,4.0,2.0,1,2.0,126.0,0,1,0
52,33.0,2.0,2.0,4.0,5.0,2.0,9.0,2.0,1,2.0,126.0,0,1,0
53,33.0,2.0,2.0,4.0,5.0,2.0,9.0,2.0,1,2.0,126.0,0,1,0
54,52.0,2.0,1.0,3.0,1.0,4.0,8.0,4.0,5,118.0,10.0,1,0,0
55,78.0,2.0,1.0,3.0,1.0,4.0,8.0,4.0,7,166.0,17.0,1,0,0
56,52.0,1.0,1.0,3.0,1.0,4.0,8.0,4.0,13,111.0,0.0,13,0,0
57,52.0,2.0,1.0,3.0,1.0,4.0,8.0,4.0,5,118.0,10.0,1,0,0
58,52.0,2.0,1.0,1.0,1.0,4.0,8.0,4.0,5,125.0,3.0,3,0,0
59,52.0,2.0,1.0,3.0,9.0,4.0,8.0,4.0,1,32.0,96.0,0,0,0
60,52.0,2.0,1.0,3.0,1.0,4.0,8.0,4.0,5,118.0,10.0,1,0,0
61,52.0,2.0,1.0,3.0,1.0,4.0,5.0,4.0,5,118.0,10.0,1,0,0
62,52.0,2.0,1.0,3.0,1.0,4.0,8.0,4.0,5,118.0,10.0,1,0,0
63,52.0,1.0,1.0,1.0,9.0,4.0,5.0,4.0,13,111.0,0.0,13,0,0
64,78.0,2.0,1.0,1.0,9.0,4.0,5.0,4.0,7,147.0,36.0,0,0,0
65,78.0,1.0,1.0,1.0,9.0,4.0,5.0,4.0,10,143.0,0.0,10,0,0
66,78.0,1.0,1.0,3.0,9.0,4.0,5.0,4.0,10,130.0,13.0,8,0,0
67,78.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,10,143.0,0.0,10,0,0
68,78.0,1.0,1.0,1.0,9.0,4.0,5.0,4.0,10,143.0,0.0,10,0,0
69,78.0,1.0,1.0,1.0,9.0,4.0,8.0,4.0,10,143.0,0.0,10,0,0
70,78.0,1.0,1.0,1.0,9.0,4.0,5.0,4.0,10,143.0,0.0,10,0,0
71,78.0,1.0,1.0,1.0,9.0,4.0,5.0,4.0,10,143.0,0.0,10,0,0
72,41.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,3,50.0,30.0,0,0,0
73,44.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,3,50.0,30.0,0,0,0
74,41.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,3,50.0,30.0,0,0,0
75,41.0,2.0,2.0,3.0,2.0,5.0,5.0,1.0,3,89.0,39.0,0,0,0
76,41.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,3,68.0,12.0,0,0,0
77,41.0,2.0,1.0,3.0,4.0,5.0,5.0,1.0,3,24.0,56.0,0,0,0
78,41.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,3,50.0,30.0,0,0,0
79,41.0,2.0,1.0,3.0,2.0,5.0,3.0,1.0,3,50.0,30.0,0,0,0
80,41.0,2.0,1.0,3.0,2.0,5.0,5.0,5.0,3,50.0,30.0,0,0,0
81,41.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,3,91.0,37.0,0,0,0
82,44.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,3,91.0,37.0,0,0,0
83,44.0,2.0,1.0,2.0,4.0,5.0,3.0,5.0,3,66.0,14.0,0,0,0
84,44.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,3,39.0,89.0,0,0,0
85,44.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,3,111.0,17.0,0,0,0
86,44.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,3,91.0,37.0,0,0,0
87,44.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,3,91.0,37.0,0,0,0
88,44.0,2.0,2.0,2.0,4.0,5.0,3.0,1.0,3,91.0,37.0,0,0,0
89,44.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,3,91.0,37.0,0,0,0
90,86.0,2.0,2.0,5.0,7.0,2.0,9.0,4.0,2,0.0,330.0,0,2,0
91,89.0,2.0,2.0,5.0,7.0,2.0,9.0,4.0,2,0.0,330.0,0,2,0
92,86.0,1.0,2.0,5.0,7.0,2.0,9.0,4.0,26,0.0,320.0,0,26,0
93,86.0,2.0,1.0,5.0,7.0,2.0,9.0,4.0,6,0.0,206.0,0,6,0
94,86.0,2.0,2.0,4.0,7.0,2.0,9.0,4.0,2,0.0,330.0,0,2,0
95,86.0,2.0,2.0,5.0,8.0,2.0,9.0,4.0,2,0.0,330.0,0,2,0
96,86.0,2.0,2.0,5.0,7.0,2.0,9.0,4.0,2,0.0,330.0,0,2,0
97,86.0,2.0,2.0,5.0,7.0,2.0,8.0,4.0,2,0.0,330.0,0,2,0
98,86.0,2.0,2.0,5.0,7.0,2.0,9.0,2.0,2,0.0,330.0,0,2,0
99,86.0,1.0,1.0,4.0,8.0,2.0,8.0,2.0,11,64.0,97.0,0,11,0
100,89.0,2.0,1.0,4.0,8.0,2.0,8.0,2.0,6,0.0,206.0,0,6,0
101,89.0,1.0,2.0,4.0,8.0,2.0,8.0,2.0,16,13.0,312.0,0,16,0
102,89.0,1.0,1.0,5.0,8.0,2.0,8.0,2.0,11,51.0,111.0,0,10,1
103,89.0,1.0,1.0,4.0,7.0,2.0,8.0,2.0,10,71.0,91.0,0,9,1
104,89.0,1.0,1.0,4.0,8.0,2.0,8.0,2.0,10,71.0,91.0,0,9,1
105,89.0,1.0,1.0,4.0,8.0,2.0,9.0,2.0,10,71.0,91.0,0,9,1
106,89.0,1.0,1.0,4.0,8.0,2.0,8.0,4.0,10,71.0,91.0,0,9,1
107,89.0,1.0,1.0,4.0,8.0,2.0,8.0,2.0,10,71.0,91.0,0,9,1
108,64.0,1.0,1.0,1.0,9.0,1.0,3.0,5.0,9,119.0,0.0,9,0,0
109,66.0,1.0,1.0,1.0,9.0,1.0,3.0,5.0,10,122.0,0.0,10,0,0
110,64.0,1.0,1.0,1.0,9.0,1.0,3.0,5.0,9,119.0,0.0,9,0,0
111,64.0,1.0,1.0,1.0,9.0,1.0,3.0,5.0,9,119.0,0.0,9,0,0
112,64.0,1.0,1.0,5.0,9.0,1.0,3.0,5.0,9,51.0,68.0,1,8,0
113,64.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,9,119.0,0.0,9,0,0
114,64.0,1.0,1.0,1.0,9.0,4.0,3.0,5.0,9,119.0,0.0,9,0,0
115,64.0,1.0,1.0,1.0,9.0,1.0,6.0,5.0,9,119.0,0.0,9,0,0
116,64.0,1.0,1.0,1.0,9.0,1.0,3.0,6.0,9,119.0,0.0,9,0,0
117,64.0,1.0,1.0,5.0,1.0,4.0,6.0,6.0,9,69.0,50.0,1,2,5
118,66.0,1.0,1.0,5.0,1.0,4.0,6.0,6.0,9,73.0,49.0,1,3,5
119,66.0,1.0,1.0,5.0,1.0,4.0,6.0,6.0,9,73.0,49.0,1,3,5
120,66.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,10,122.0,0.0,10,0,0
121,66.0,1.0,1.0,5.0,9.0,4.0,6.0,6.0,10,35.0,87.0,0,10,0
122,66.0,1.0,1.0,5.0,1.0,1.0,6.0,6.0,10,93.0,29.0,7,3,0
123,66.0,1.0,1.0,5.0,1.0,4.0,3.0,6.0,9,73.0,49.0,1,3,5
124,66.0,1.0,1.0,5.0,1.0,4.0,6.0,5.0,9,73.0,49.0,1,3,5
125,66.0,1.0,1.0,5.0,1.0,4.0,6.0,6.0,9,73.0,49.0,1,3,5
126,19.0,2.0,2.0,4.0,5.0,4.0,7.0,2.0,1,2.0,126.0,0,1,0
127,21.0,2.0,2.0,4.0,5.0,4.0,7.0,2.0,1,2.0,126.0,0,1,0
128,19.0,2.0,2.0,4.0,5.0,4.0,7.0,2.0,1,2.0,126.0,0,1,0
129,19.0,2.0,2.0,4.0,5.0,4.0,7.0,2.0,1,2.0,126.0,0,1,0
130,19.0,2.0,2.0,3.0,5.0,4.0,7.0,2.0,2,32.0,96.0,0,0,0
131,19.0,2.0,2.0,4.0,6.0,4.0,7.0,2.0,1,2.0,126.0,0,1,0
132,19.0,2.0,2.0,4.0,5.0,1.0,7.0,2.0,1,2.0,126.0,0,1,0
133,19.0,2.0,2.0,4.0,5.0,4.0,1.0,2.0,1,2.0,126.0,0,1,0
134,19.0,2.0,2.0,4.0,5.0,4.0,7.0,3.0,1,2.0,126.0,0,1,0
135,19.0,2.0,2.0,3.0,6.0,1.0,1.0,3.0,3,76.0,52.0,0,0,0
136,21.0,2.0,2.0,3.0,6.0,1.0,1.0,3.0,3,76.0,52.0,0,0,0
137,21.0,2.0,2.0,3.0,6.0,1.0,1.0,3.0,3,76.0,52.0,0,0,0
138,21.0,2.0,2.0,4.0,6.0,1.0,1.0,3.0,2,35.0,93.0,0,1,1
139,21.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0,3,81.0,47.0,0,0,0
140,21.0,2.0,2.0,3.0,6.0,4.0,1.0,3.0,1,27.0,101.0,0,0,0
141,21.0,2.0,2.0,3.0,6.0,1.0,7.0,3.0,3,75.0,53.0,0,0,0
142,21.0,2.0,2.0,3.0,6.0,1.0,1.0,2.0,1,27.0,101.0,0,0,0
143,21.0,2.0,2.0,3.0,6.0,1.0,1.0,3.0,3,76.0,52.0,0,0,0
144,16.0,1.0,1.0,3.0,7.0,2.0,10.0,5.0,2,27.0,0.0,2,0,0
145,13.0,1.0,1.0,3.0,7.0,2.0,10.0,5.0,2,27.0,0.0,2,0,0
146,16.0,1.0,1.0,3.0,7.0,2.0,10.0,5.0,2,27.0,0.0,2,0,0
147,16.0,1.0,2.0,3.0,7.0,2.0,10.0,5.0,5,51.0,4.0,4,0,1
148,16.0,1.0,1.0,2.0,7.0,2.0,10.0,5.0,2,27.0,0.0,2,0,0
149,16.0,1.0,1.0,3.0,5.0,2.0,10.0,5.0,2,27.0,0.0,2,0,0
150,16.0,1.0,1.0,3.0,7.0,2.0,10.0,5.0,2,27.0,0.0,2,0,0
151,16.0,1.0,1.0,3.0,7.0,2.0,7.0,5.0,2,27.0,0.0,2,0,0
152,16.0,1.0,1.0,3.0,7.0,2.0,10.0,4.0,2,27.0,0.0,2,0,0
153,16.0,1.0,2.0,2.0,5.0,2.0,7.0,4.0,5,55.0,0.0,5,0,0
154,13.0,1.0,2.0,2.0,5.0,2.0,7.0,4.0,5,55.0,0.0,5,0,0
155,13.0,1.0,1.0,2.0,5.0,2.0,7.0,4.0,2,27.0,0.0,2,0,0
156,13.0,1.0,2.0,3.0,5.0,2.0,7.0,4.0,5,51.0,4.0,4,0,1
157,13.0,1.0,2.0,2.0,7.0,2.0,7.0,4.0,5,55.0,0.0,5,0,0
158,13.0,1.0,2.0,2.0,5.0,2.0,7.0,4.0,5,55.0,0.0,5,0,0
159,13.0,1.0,2.0,2.0,5.0,2.0,10.0,4.0,5,55.0,0.0,5,0,0
160,13.0,1.0,2.0,2.0,5.0,2.0,7.0,5.0,5,55.0,0.0,5,0,0
161,13.0,1.0,2.0,2.0,5.0,2.0,7.0,4.0,5,55.0,0.0,5,0,0
162,61.0,2.0,2.0,6.0,2.0,5.0,5.0,3.0,3,0.0,214.0,0,3,0
163,58.0,2.0,2.0,6.0,2.0,5.0,5.0,3.0,3,0.0,214.0,0,3,0
164,61.0,2.0,2.0,6.0,2.0,5.0,5.0,3.0,3,0.0,214.0,0,3,0
165,61.0,2.0,1.0,6.0,2.0,5.0,5.0,3.0,5,0.0,128.0,0,5,0
166,61.0,2.0,2.0,5.0,2.0,5.0,5.0,3.0,3,0.0,214.0,0,3,0
167,61.0,2.0,2.0,6.0,9.0,5.0,5.0,3.0,3,0.0,214.0,0,3,0
168,61.0,2.0,2.0,6.0,2.0,5.0,5.0,3.0,3,0.0,214.0,0,3,0
169,61.0,2.0,2.0,6.0,2.0,5.0,3.0,3.0,3,0.0,214.0,0,3,0
170,61.0,2.0,2.0,6.0,2.0,5.0,5.0,2.0,3,0.0,214.0,0,3,0
171,61.0,2.0,1.0,5.0,9.0,5.0,3.0,2.0,5,0.0,128.0,0,5,0
172,58.0,2.0,1.0,5.0,9.0,5.0,3.0,2.0,5,0.0,128.0,0,5,0
173,58.0,2.0,2.0,5.0,9.0,5.0,3.0,2.0,3,0.0,214.0,0,3,0
174,58.0,2.0,1.0,6.0,9.0,5.0,3.0,2.0,5,0.0,128.0,0,5,0
175,58.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,5,0.0,128.0,0,5,0
176,58.0,2.0,1.0,5.0,9.0,5.0,3.0,2.0,5,0.0,128.0,0,5,0
177,58.0,2.0,1.0,5.0,9.0,5.0,5.0,2.0,5,0.0,128.0,0,5,0
178,58.0,2.0,1.0,5.0,9.0,5.0,3.0,3.0,5,0.0,128.0,0,5,0
179,58.0,2.0,1.0,5.0,9.0,5.0,3.0,2.0,5,0.0,128.0,0,5,0
180,83.0,1.0,1.0,2.0,4.0,4.0,7.0,1.0,13,161.0,0.0,13,0,0
181,80.0,1.0,1.0,2.0,4.0,4.0,7.0,1.0,12,151.0,1.0,11,0,0
182,83.0,2.0,1.0,2.0,4.0,4.0,7.0,1.0,6,163.0,43.0,0,0,0
183,83.0,1.0,1.0,2.0,4.0,4.0,7.0,1.0,13,161.0,0.0,13,0,0
184,83.0,1.0,1.0,6.0,4.0,4.0,7.0,1.0,13,18.0,143.0,0,13,0
185,83.0,1.0,1.0,2.0,3.0,4.0,7.0,1.0,13,161.0,0.0,13,0,0
186,83.0,1.0,1.0,2.0,4.0,3.0,7.0,1.0,13,161.0,0.0,13,0,0
187,83.0,1.0,1.0,2.0,4.0,4.0,5.0,1.0,13,161.0,0.0,13,0,0
188,83.0,1.0,1.0,2.0,4.0,4.0,7.0,6.0,13,161.0,0.0,13,0,0
189,83.0,2.0,1.0,6.0,3.0,3.0,5.0,6.0,6,0.0,206.0,0,6,0
190,80.0,1.0,1.0,6.0,3.0,3.0,5.0,6.0,12,18.0,134.0,0,12,0
191,80.0,2.0,1.0,6.0,3.0,3.0,5.0,6.0,7,0.0,183.0,0,7,0
192,80.0,2.0,1.0,2.0,3.0,3.0,5.0,6.0,7,181.0,2.0,6,0,0
193,80.0,2.0,1.0,6.0,4.0,3.0,5.0,6.0,7,0.0,183.0,0,7,0
194,80.0,2.0,1.0,6.0,3.0,4.0,5.0,6.0,7,0.0,183.0,0,7,0
195,80.0,2.0,1.0,6.0,3.0,3.0,7.0,6.0,7,0.0,183.0,0,7,0
196,80.0,2.0,1.0,6.0,3.0,3.0,5.0,1.0,7,0.0,183.0,0,7,0
197,80.0,2.0,1.0,6.0,3.0,3.0,5.0,6.0,7,0.0,183.0,0,7,0
198,38.0,2.0,2.0,5.0,9.0,1.0,3.0,4.0,3,0.0,128.0,0,3,0
199,35.0,2.0,2.0,5.0,9.0,1.0,3.0,4.0,3,0.0,128.0,0,3,0
200,38.0,1.0,2.0,5.0,9.0,1.0,3.0,4.0,13,0.0,144.0,0,13,0
201,38.0,2.0,2.0,5.0,9.0,1.0,3.0,4.0,3,0.0,128.0,0,3,0
202,38.0,2.0,2.0,3.0,9.0,1.0,3.0,4.0,2,121.0,7.0,2,0,0
203,38.0,2.0,2.0,5.0,7.0,1.0,3.0,4.0,3,0.0,128.0,0,3,0
204,38.0,2.0,2.0,5.0,9.0,6.0,3.0,4.0,3,0.0,128.0,0,3,0
205,38.0,2.0,2.0,5.0,9.0,1.0,9.0,4.0,3,0.0,128.0,0,3,0
206,38.0,2.0,2.0,5.0,9.0,1.0,3.0,3.0,3,0.0,128.0,0,3,0
207,38.0,1.0,2.0,3.0,7.0,6.0,9.0,3.0,11,76.0,68.0,0,0,1
208,35.0,2.0,2.0,3.0,7.0,6.0,9.0,3.0,,24.0,104.0,,,
209,35.0,1.0,2.0,3.0,7.0,6.0,9.0,3.0,13,81.0,66.0,0,0,1
210,35.0,1.0,2.0,5.0,7.0,6.0,9.0,3.0,14,0.0,147.0,0,14,0
211,35.0,1.0,2.0,3.0,9.0,6.0,9.0,3.0,13,81.0,66.0,0,0,1
212,35.0,1.0,2.0,3.0,7.0,1.0,9.0,3.0,14,137.0,10.0,12,0,0
213,35.0,1.0,2.0,3.0,7.0,6.0,3.0,3.0,13,81.0,66.0,0,0,1
214,35.0,1.0,2.0,3.0,7.0,6.0,9.0,4.0,13,81.0,66.0,0,0,1
215,35.0,1.0,2.0,3.0,7.0,6.0,9.0,3.0,13,81.0,66.0,0,0,1
216,49.0,1.0,2.0,4.0,10.0,3.0,6.0,2.0,12,7.0,178.0,0,12,0
217,92.0,1.0,2.0,4.0,10.0,3.0,6.0,2.0,23,7.0,346.0,0,23,0
218,49.0,2.0,2.0,4.0,10.0,3.0,6.0,2.0,3,1.0,213.0,0,3,0
219,49.0,1.0,1.0,4.0,10.0,3.0,6.0,2.0,7,43.0,49.0,0,7,0
220,49.0,1.0,2.0,3.0,10.0,3.0,6.0,2.0,14,95.0,90.0,0,0,1
221,49.0,1.0,2.0,4.0,2.0,3.0,6.0,2.0,17,138.0,47.0,7,0,4
222,49.0,1.0,2.0,4.0,10.0,4.0,6.0,2.0,12,7.0,178.0,0,12,0
223,49.0,1.0,2.0,4.0,10.0,3.0,8.0,2.0,12,7.0,178.0,0,12,0
224,49.0,1.0,2.0,4.0,10.0,3.0,6.0,2.0,12,7.0,178.0,0,12,0
225,49.0,2.0,1.0,3.0,2.0,4.0,8.0,2.0,5,79.0,49.0,0,0,0
226,92.0,1.0,1.0,3.0,2.0,4.0,8.0,2.0,14,168.0,12.0,12,0,0
227,92.0,2.0,2.0,3.0,2.0,4.0,8.0,2.0,2,205.0,125.0,0,0,0
228,92.0,2.0,1.0,4.0,2.0,4.0,8.0,2.0,3,15.0,191.0,0,0,0
229,92.0,2.0,1.0,3.0,10.0,4.0,8.0,2.0,2,45.0,161.0,0,0,0
230,92.0,2.0,1.0,3.0,2.0,3.0,8.0,2.0,6,118.0,88.0,0,0,0
231,92.0,2.0,1.0,3.0,2.0,4.0,6.0,2.0,6,118.0,88.0,0,0,0
232,92.0,2.0,1.0,3.0,2.0,4.0,8.0,2.0,6,118.0,88.0,0,0,0
233,92.0,2.0,1.0,3.0,2.0,4.0,8.0,2.0,6,118.0,88.0,0,0,0
234,94.0,2.0,1.0,1.0,5.0,5.0,2.0,4.0,6,166.0,40.0,0,0,0
235,47.0,2.0,1.0,1.0,5.0,5.0,2.0,4.0,5,106.0,25.0,0,0,0
236,94.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,14,177.0,3.0,13,0,0
