,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,3,24.0,22.0,0,2,0
1,12,58.0,122.0,0,11,0
2,6,9.0,90.0,0,5,1
3,3,46.0,0.0,3,0,0
4,3,41.0,5.0,2,0,1
5,3,24.0,22.0,0,2,0
6,3,24.0,22.0,0,2,0
7,3,26.0,20.0,1,2,0
8,10,99.0,0.0,10,0,0
9,14,180.0,0.0,14,0,0
10,27,275.0,78.0,14,0,11
11,27,353.0,0.0,27,0,0
12,27,353.0,0.0,27,0,0
13,27,353.0,0.0,27,0,0
14,27,353.0,0.0,27,0,0
15,27,353.0,0.0,27,0,0
16,25,294.0,0.0,25,0,0
17,15,170.0,1.0,14,0,0
18,10,143.0,0.0,10,0,0
19,22,102.0,192.0,5,6,6
20,25,280.0,14.0,17,0,0
21,25,294.0,0.0,25,0,0
22,25,294.0,0.0,25,0,0
23,25,294.0,0.0,25,0,0
24,10,64.0,79.0,0,9,1
25,13,6.0,165.0,0,13,0
26,8,83.0,0.0,8,0,0
27,7,41.0,42.0,0,4,0
28,7,31.0,52.0,0,7,0
29,7,31.0,52.0,0,7,0
30,7,31.0,52.0,0,7,0
31,7,31.0,52.0,0,7,0
32,25,0.0,373.0,0,25,0
33,11,0.0,103.0,0,11,0
34,25,0.0,373.0,0,25,0
35,25,0.0,373.0,0,25,0
36,25,0.0,373.0,0,25,0
37,25,0.0,373.0,0,25,0
38,25,0.0,373.0,0,25,0
39,25,0.0,373.0,0,25,0
40,25,0.0,373.0,0,25,0
41,11,0.0,103.0,0,11,0
42,11,0.0,103.0,0,11,0
43,11,0.0,103.0,0,11,0
44,11,0.0,103.0,0,11,0
45,11,0.0,103.0,0,11,0
46,11,0.0,103.0,0,11,0
47,11,0.0,103.0,0,11,0
48,17,403.0,0.0,17,0,0
49,21,474.0,0.0,21,0,0
50,17,403.0,0.0,17,0,0
51,17,403.0,0.0,17,0,0
52,17,403.0,0.0,17,0,0
53,17,403.0,0.0,17,0,0
54,17,403.0,0.0,17,0,0
55,17,403.0,0.0,17,0,0
56,17,403.0,0.0,17,0,0
57,21,474.0,0.0,21,0,0
58,21,474.0,0.0,21,0,0
59,21,474.0,0.0,21,0,0
60,21,474.0,0.0,21,0,0
61,21,474.0,0.0,21,0,0
62,21,474.0,0.0,21,0,0
63,21,474.0,0.0,21,0,0
64,13,144.0,0.0,13,0,0
65,5,55.0,0.0,5,0,0
66,13,144.0,0.0,13,0,0
67,11,12.0,132.0,0,9,2
68,13,144.0,0.0,13,0,0
69,13,144.0,0.0,13,0,0
70,13,144.0,0.0,13,0,0
71,13,144.0,0.0,13,0,0
72,11,4.0,140.0,0,11,0
73,3,11.0,44.0,0,3,0
74,5,55.0,0.0,5,0,0
75,3,11.0,44.0,0,3,0
76,3,11.0,44.0,0,3,0
77,3,11.0,44.0,0,3,0
78,3,7.0,48.0,0,3,0
79,3,11.0,44.0,0,3,0
80,21,0.0,562.0,0,21,0
81,13,2.0,414.0,0,13,0
82,21,0.0,562.0,0,21,0
83,21,452.0,110.0,1,0,0
84,19,2.0,560.0,0,19,0
85,21,0.0,562.0,0,21,0
86,21,0.0,562.0,0,21,0
87,21,0.0,562.0,0,21,0
88,21,470.0,92.0,3,0,0
89,15,369.0,47.0,4,0,0
90,13,4.0,412.0,0,13,0
91,15,356.0,60.0,3,0,0
92,15,369.0,47.0,4,0,0
93,15,369.0,47.0,4,0,0
94,15,373.0,43.0,4,0,0
95,15,369.0,47.0,4,0,0
96,9,118.0,1.0,8,0,0
97,12,152.0,0.0,12,0,0
98,20,242.0,0.0,20,0,0
99,9,118.0,1.0,8,0,0
100,9,114.0,5.0,8,0,0
101,9,118.0,1.0,8,0,0
102,9,118.0,1.0,8,0,0
103,9,118.0,1.0,8,0,0
104,20,220.0,22.0,13,0,0
105,12,143.0,9.0,11,0,0
106,27,259.0,45.0,13,0,0
107,27,304.0,0.0,27,0,0
108,27,259.0,45.0,13,0,0
109,27,259.0,45.0,13,0,0
110,27,259.0,45.0,13,0,0
111,27,259.0,45.0,13,0,0
112,8,0.0,75.0,0,8,0
113,14,0.0,147.0,0,14,0
114,3,14.0,21.0,0,3,0
115,8,0.0,75.0,0,8,0
116,8,0.0,75.0,0,8,0
117,8,0.0,75.0,0,8,0
118,8,0.0,75.0,0,8,0
119,8,0.0,75.0,0,8,0
120,3,6.0,29.0,0,3,0
121,14,0.0,147.0,0,14,0
122,5,17.0,56.0,0,5,0
123,5,8.0,65.0,0,5,0
124,5,8.0,65.0,0,5,0
125,5,8.0,65.0,0,5,0
126,5,8.0,65.0,0,5,0
127,5,8.0,65.0,0,5,0
128,2,27.0,0.0,2,0,0
129,13,161.0,0.0,13,0,0
130,2,27.0,0.0,2,0,0
131,2,27.0,0.0,2,0,0
132,2,27.0,0.0,2,0,0
133,2,27.0,0.0,2,0,0
134,2,27.0,0.0,2,0,0
135,2,27.0,0.0,2,0,0
136,2,27.0,0.0,2,0,0
137,13,151.0,10.0,12,0,0
138,13,161.0,0.0,13,0,0
139,13,151.0,10.0,12,0,0
140,13,150.0,11.0,11,0,0
141,13,151.0,10.0,12,0,0
142,13,151.0,10.0,12,0,0
143,13,151.0,10.0,12,0,0
144,14,12.0,214.0,0,14,0
145,11,4.0,140.0,0,11,0
146,14,12.0,214.0,0,14,0
147,21,0.0,226.0,0,21,0
148,21,77.0,149.0,6,10,5
149,14,12.0,214.0,0,14,0
150,14,12.0,214.0,0,14,0
151,14,12.0,214.0,0,14,0
152,21,0.0,226.0,0,21,0
153,13,0.0,144.0,0,13,0
154,12,44.0,100.0,3,4,3
155,13,0.0,144.0,0,13,0
156,13,0.0,144.0,0,13,0
157,13,0.0,144.0,0,13,0
158,13,0.0,144.0,0,13,0
159,13,0.0,144.0,0,13,0
160,30,324.0,0.0,30,0,0
161,5,55.0,0.0,5,0,0
162,20,583.0,3.0,20,0,0
163,27,99.0,225.0,7,13,3
164,30,324.0,0.0,30,0,0
165,30,317.0,7.0,26,0,0
166,30,324.0,0.0,30,0,0
167,30,324.0,0.0,30,0,0
168,19,1.0,585.0,0,19,0
169,3,7.0,48.0,0,3,0
170,6,98.0,10.0,1,0,0
171,4,56.0,52.0,3,0,0
172,6,0.0,108.0,0,6,0
173,6,0.0,108.0,0,6,0
174,6,0.0,108.0,0,6,0
175,6,0.0,108.0,0,6,0
176,13,0.0,255.0,0,13,0
177,15,0.0,416.0,0,15,0
178,13,0.0,144.0,0,13,0
179,13,213.0,42.0,1,0,0
180,13,0.0,255.0,0,13,0
181,13,0.0,255.0,0,13,0
182,13,0.0,255.0,0,13,0
183,13,0.0,255.0,0,13,0
184,13,144.0,0.0,13,0,0
185,15,405.0,11.0,14,0,0
186,21,0.0,226.0,0,21,0
187,21,226.0,0.0,21,0,0
188,21,217.0,9.0,15,0,0
189,21,226.0,0.0,21,0,0
190,21,222.0,4.0,19,0,0
191,21,226.0,0.0,21,0,0
192,12,7.0,178.0,0,12,0
193,6,9.0,90.0,0,5,1
194,12,3.0,337.0,0,12,0
195,17,0.0,185.0,0,17,0
196,13,8.0,177.0,0,12,0
197,12,7.0,178.0,0,12,0
198,12,7.0,178.0,0,12,0
199,12,7.0,178.0,0,12,0
200,14,0.0,340.0,0,14,0
201,10,0.0,99.0,0,10,0
202,8,4.0,183.0,0,7,1
203,10,0.0,187.0,0,10,0
204,10,0.0,187.0,0,10,0
205,10,0.0,187.0,0,10,0
206,10,0.0,187.0,0,10,0
207,10,0.0,187.0,0,10,0
208,21,617.0,1.0,20,0,0
209,21,516.0,1.0,20,0,0
210,27,350.0,3.0,26,0,0
211,21,617.0,1.0,20,0,0
212,21,501.0,117.0,2,0,0
213,21,617.0,1.0,20,0,0
214,21,617.0,1.0,20,0,0
215,21,618.0,0.0,21,0,0
216,27,326.0,27.0,21,0,0
217,21,416.0,101.0,2,0,0
218,25,275.0,19.0,16,0,0
219,25,294.0,0.0,25,0,0
220,25,283.0,11.0,24,0,0
221,25,275.0,19.0,16,0,0
222,25,275.0,19.0,16,0,0
223,25,275.0,19.0,16,0,0
224,10,21.0,122.0,0,10,0
225,13,31.0,149.0,1,12,0
226,10,21.0,122.0,0,10,0
227,10,143.0,0.0,10,0,0
228,10,21.0,122.0,0,10,0
229,10,13.0,130.0,0,10,0
230,10,21.0,122.0,0,10,0
231,10,21.0,122.0,0,10,0
232,10,143.0,0.0,10,0,0
233,14,178.0,2.0,14,0,0
234,13,21.0,159.0,0,12,0
235,14,178.0,2.0,14,0,0
236,14,180.0,0.0,14,0,0
237,14,178.0,2.0,14,0,0
238,14,178.0,2.0,14,0,0
239,14,178.0,2.0,14,0,0
240,10,79.0,20.0,4,0,0
241,17,135.0,50.0,4,0,1
242,10,79.0,20.0,4,0,0
243,7,10.0,89.0,0,5,2
244,10,99.0,0.0,10,0,0
245,10,99.0,0.0,10,0,0
246,10,79.0,20.0,4,0,0
247,10,79.0,20.0,4,0,0
248,10,99.0,0.0,10,0,0
249,17,179.0,6.0,15,0,0
250,17,185.0,0.0,17,0,0
251,13,17.0,168.0,0,12,1
252,17,138.0,47.0,7,0,4
253,17,182.0,3.0,16,0,0
254,17,179.0,6.0,15,0,0
255,17,179.0,6.0,15,0,0
256,8,0.0,75.0,0,8,0
257,12,0.0,119.0,0,12,0
258,8,0.0,142.0,0,8,0
259,8,75.0,0.0,8,0,0
260,8,0.0,75.0,0,8,0
261,8,0.0,75.0,0,8,0
262,8,0.0,75.0,0,8,0
263,8,0.0,75.0,0,8,0
264,8,142.0,0.0,8,0,0
265,12,119.0,0.0,12,0,0
266,10,0.0,217.0,0,10,0
267,10,217.0,0.0,10,0,0
268,10,217.0,0.0,10,0,0
269,10,217.0,0.0,10,0,0
270,10,217.0,0.0,10,0,0
271,10,217.0,0.0,10,0,0
272,16,180.0,294.0,0,0,0
273,17,174.0,343.0,0,0,0
274,18,139.0,119.0,0,0,0
275,21,0.0,474.0,0,21,0
276,16,180.0,294.0,0,0,0
277,16,180.0,294.0,0,0,0
278,16,180.0,294.0,0,0,0
279,16,180.0,294.0,0,0,0
280,23,0.0,258.0,0,23,0
281,21,0.0,517.0,0,21,0
282,24,154.0,140.0,0,0,0
283,25,0.0,294.0,0,25,0
284,25,0.0,294.0,0,25,0
285,25,0.0,294.0,0,25,0
286,25,0.0,294.0,0,25,0
287,25,0.0,294.0,0,25,0
288,11,40.0,122.0,0,10,0
289,13,49.0,136.0,0,12,1
290,11,40.0,122.0,0,10,0
291,12,20.0,142.0,0,12,0
292,11,39.0,123.0,0,10,0
293,11,40.0,122.0,0,10,0
294,11,40.0,122.0,0,10,0
295,11,40.0,122.0,0,10,0
296,12,20.0,142.0,0,12,0
297,15,26.0,159.0,0,15,0
298,13,49.0,136.0,0,12,1
299,15,26.0,159.0,0,15,0
300,15,26.0,159.0,0,15,0
301,15,26.0,159.0,0,15,0
302,15,26.0,159.0,0,15,0
303,15,26.0,159.0,0,15,0
304,15,164.0,8.0,14,0,0
305,18,219.0,0.0,18,0,0
306,15,164.0,8.0,14,0,0
307,10,86.0,86.0,0,0,1
308,15,164.0,8.0,14,0,0
309,15,164.0,8.0,14,0,0
310,15,164.0,8.0,14,0,0
311,15,160.0,12.0,10,0,0
312,14,116.0,56.0,2,0,0
313,18,157.0,62.0,5,0,0
314,18,214.0,5.0,15,0,0
315,15,106.0,113.0,0,0,0
316,18,157.0,62.0,5,0,0
317,18,157.0,62.0,5,0,0
318,18,159.0,60.0,5,0,0
319,18,157.0,62.0,5,0,0
