,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,29.8,1.0,1.1,3.1,8.7,2.1,9.6,1.2,7,8.0,91.0,0,6,1
1,29.8,1.5,1.1,3.1,8.7,2.1,9.6,1.2,7,1.0,140.0,0,6,1
2,29.8,2.0,1.1,3.1,8.7,2.1,9.6,1.2,7,1.0,127.0,0,6,1
3,29.8,2.5,1.1,3.1,8.7,2.1,9.6,1.2,7,2.0,146.0,0,6,1
4,90.9,1.0,1.1,3.1,8.7,2.1,9.6,1.2,3,7.0,346.0,0,3,0
5,90.9,1.5,1.1,3.1,8.7,2.1,9.6,1.2,3,1.0,362.0,0,3,0
6,90.9,2.0,1.1,3.1,8.7,2.1,9.6,1.2,3,0.0,330.0,0,3,0
7,90.9,2.5,1.1,3.1,8.7,2.1,9.6,1.2,3,0.0,241.0,0,3,0
8,29.8,1.0,1.5,3.1,8.7,2.1,9.6,1.2,2,8.0,91.0,0,2,0
9,29.8,1.5,1.5,3.1,8.7,2.1,9.6,1.2,2,1.0,140.0,0,2,0
10,29.8,2.0,1.5,3.1,8.7,2.1,9.6,1.2,2,1.0,127.0,0,2,0
11,29.8,2.5,1.5,3.1,8.7,2.1,9.6,1.2,2,2.0,146.0,0,2,0
12,29.8,1.0,1.1,1.3,8.7,2.1,9.6,1.2,1,99.0,0.0,0,1,0
13,29.8,1.5,1.1,1.3,8.7,2.1,9.6,1.2,1,118.0,23.0,0,1,0
14,29.8,2.0,1.1,1.3,8.7,2.1,9.6,1.2,1,93.0,35.0,0,1,0
15,29.8,2.5,1.1,1.3,8.7,2.1,9.6,1.2,1,96.0,52.0,0,1,0
16,29.8,1.0,1.1,3.1,6.3,2.1,9.6,1.2,23,9.0,90.0,0,23,0
17,29.8,1.5,1.1,3.1,6.3,2.1,9.6,1.2,23,1.0,140.0,0,23,0
18,29.8,2.0,1.1,3.1,6.3,2.1,9.6,1.2,23,1.0,127.0,0,23,0
19,29.8,2.5,1.1,3.1,6.3,2.1,9.6,1.2,23,2.0,146.0,0,23,0
20,29.8,1.0,1.1,3.1,8.7,2.0,9.6,1.2,12,8.0,91.0,0,12,0
21,29.8,1.5,1.1,3.1,8.7,2.0,9.6,1.2,12,1.0,140.0,0,12,0
22,29.8,2.0,1.1,3.1,8.7,2.0,9.6,1.2,12,1.0,127.0,0,12,0
23,29.8,2.5,1.1,3.1,8.7,2.0,9.6,1.2,12,2.0,146.0,0,12,0
24,29.8,1.0,1.1,3.1,8.7,2.1,6.6,1.2,2,8.0,91.0,0,2,0
25,29.8,1.5,1.1,3.1,8.7,2.1,6.6,1.2,2,1.0,140.0,0,2,0
26,29.8,2.0,1.1,3.1,8.7,2.1,6.6,1.2,2,1.0,127.0,0,2,0
27,29.8,2.5,1.1,3.1,8.7,2.1,6.6,1.2,2,2.0,146.0,0,2,0
28,29.8,1.0,1.1,3.1,8.7,2.1,9.6,2.9,1,8.0,91.0,0,1,0
29,29.8,1.5,1.1,3.1,8.7,2.1,9.6,2.9,1,1.0,140.0,0,1,0
30,29.8,2.0,1.1,3.1,8.7,2.1,9.6,2.9,1,1.0,127.0,0,1,0
31,29.8,2.5,1.1,3.1,8.7,2.1,9.6,2.9,1,2.0,146.0,0,1,0
32,29.8,1.0,1.5,1.3,6.3,2.0,6.6,2.9,7,99.0,0.0,0,6,1
33,29.8,1.5,1.5,1.3,6.3,2.0,6.6,2.9,7,136.0,5.0,0,6,1
34,29.8,2.0,1.5,1.3,6.3,2.0,6.6,2.9,7,112.0,16.0,0,6,1
35,29.8,2.5,1.5,1.3,6.3,2.0,6.6,2.9,7,110.0,38.0,0,6,1
36,90.9,1.0,1.1,1.3,6.3,2.0,6.6,2.9,3,348.0,5.0,0,3,0
37,90.9,1.5,1.1,1.3,6.3,2.0,6.6,2.9,3,327.0,36.0,0,3,0
38,90.9,2.0,1.1,1.3,6.3,2.0,6.6,2.9,3,258.0,72.0,0,3,0
39,90.9,2.5,1.1,1.3,6.3,2.0,6.6,2.9,3,182.0,59.0,0,3,0
40,90.9,1.0,1.5,3.1,6.3,2.0,6.6,2.9,2,7.0,346.0,0,2,0
41,90.9,1.5,1.5,3.1,6.3,2.0,6.6,2.9,2,1.0,362.0,0,2,0
42,90.9,2.0,1.5,3.1,6.3,2.0,6.6,2.9,2,0.0,330.0,0,2,0
43,90.9,2.5,1.5,3.1,6.3,2.0,6.6,2.9,2,0.0,241.0,0,2,0
44,90.9,1.0,1.5,1.3,8.7,2.0,6.6,2.9,1,348.0,5.0,0,1,0
45,90.9,1.5,1.5,1.3,8.7,2.0,6.6,2.9,1,327.0,36.0,0,1,0
46,90.9,2.0,1.5,1.3,8.7,2.0,6.6,2.9,1,244.0,86.0,0,1,0
47,90.9,2.5,1.5,1.3,8.7,2.0,6.6,2.9,1,176.0,65.0,0,1,0
48,90.9,1.0,1.5,1.3,6.3,2.1,6.6,2.9,10,343.0,10.0,10,0,0
49,90.9,1.5,1.5,1.3,6.3,2.1,6.6,2.9,10,317.0,46.0,10,0,0
50,90.9,2.0,1.5,1.3,6.3,2.1,6.6,2.9,10,220.0,110.0,10,0,0
51,90.9,2.5,1.5,1.3,6.3,2.1,6.6,2.9,10,166.0,75.0,10,0,0
52,90.9,1.0,1.5,1.3,6.3,2.0,9.6,2.9,4,348.0,5.0,0,0,0
53,90.9,1.5,1.5,1.3,6.3,2.0,9.6,2.9,4,327.0,36.0,0,0,0
54,90.9,2.0,1.5,1.3,6.3,2.0,9.6,2.9,4,250.0,80.0,0,0,0
55,90.9,2.5,1.5,1.3,6.3,2.0,9.6,2.9,4,182.0,59.0,0,0,0
56,90.9,1.0,1.5,1.3,6.3,2.0,6.6,1.2,3,334.0,19.0,0,0,0
57,90.9,1.5,1.5,1.3,6.3,2.0,6.6,1.2,3,292.0,71.0,0,0,0
58,90.9,2.0,1.5,1.3,6.3,2.0,6.6,1.2,3,205.0,125.0,0,0,0
59,90.9,2.5,1.5,1.3,6.3,2.0,6.6,1.2,3,165.0,76.0,0,0,0
60,90.9,1.0,1.5,1.3,6.3,2.0,6.6,2.9,1,348.0,5.0,0,0,0
61,90.9,1.5,1.5,1.3,6.3,2.0,6.6,2.9,1,327.0,36.0,0,0,0
62,90.9,2.0,1.5,1.3,6.3,2.0,6.6,2.9,1,258.0,72.0,0,0,0
63,90.9,2.5,1.5,1.3,6.3,2.0,6.6,2.9,1,182.0,59.0,0,0,0
64,74.8,1.0,1.6,1.1,6.7,4.1,7.6,3.7,6,275.0,19.0,0,5,1
65,74.8,1.5,1.6,1.1,6.7,4.1,7.6,3.7,6,249.0,57.0,0,5,1
66,74.8,2.0,1.6,1.1,6.7,4.1,7.6,3.7,6,148.0,66.0,0,5,1
