,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,4,6.0,67.0,0,4,0
1,4,9.0,62.0,0,4,0
2,1,7.0,33.0,0,1,0
3,,22.0,3.0,,,
4,4,68.0,5.0,1,0,0
5,2,8.0,65.0,0,2,0
6,4,6.0,67.0,0,4,0
7,4,6.0,67.0,0,4,0
8,4,6.0,67.0,0,4,0
9,,17.0,0.0,,,
10,,25.0,0.0,,,
11,4,69.0,0.0,4,0,0
12,,24.0,0.0,,,
13,,24.0,0.0,,,
14,,24.0,0.0,,,
15,,24.0,0.0,,,
16,,24.0,0.0,,,
17,,24.0,0.0,,,
18,1,124.0,0.0,1,0,0
19,,64.0,0.0,,,
20,2,121.0,0.0,2,0,0
21,21,385.0,8.0,18,0,0
22,1,80.0,44.0,0,1,0
23,1,124.0,0.0,1,0,0
24,1,124.0,0.0,1,0,0
25,1,124.0,0.0,1,0,0
26,1,124.0,0.0,1,0,0
27,21,15.0,368.0,0,21,0
28,11,10.0,171.0,0,11,0
29,,43.0,21.0,,,
30,10,166.0,19.0,2,0,0
31,10,10.0,175.0,0,10,0
32,10,10.0,175.0,0,10,0
33,10,10.0,175.0,0,10,0
34,10,10.0,175.0,0,10,0
35,10,10.0,175.0,0,10,0
36,8,7.0,131.0,0,8,0
37,9,6.0,147.0,0,9,0
38,22,15.0,451.0,0,22,0
39,8,7.0,218.0,0,8,0
40,8,16.0,122.0,0,8,0
41,8,7.0,131.0,0,8,0
42,8,7.0,131.0,0,8,0
43,8,7.0,131.0,0,8,0
44,8,7.0,131.0,0,8,0
45,15,31.0,698.0,0,15,0
46,7,12.0,241.0,0,7,0
47,24,16.0,443.0,0,23,1
48,12,7.0,710.0,0,12,0
49,10,17.0,700.0,0,10,0
50,10,17.0,700.0,0,10,0
51,10,17.0,700.0,0,10,0
52,10,17.0,700.0,0,10,0
53,10,17.0,700.0,0,10,0
54,29,278.0,0.0,29,0,0
55,16,221.0,1.0,15,0,0
56,13,125.0,0.0,13,0,0
57,29,278.0,0.0,29,0,0
58,29,278.0,0.0,29,0,0
59,26,188.0,90.0,1,0,0
60,29,278.0,0.0,29,0,0
61,29,278.0,0.0,29,0,0
62,29,278.0,0.0,29,0,0
63,13,125.0,0.0,13,0,0
64,16,221.0,1.0,15,0,0
65,6,72.0,0.0,6,0,0
66,5,52.0,20.0,0,0,0
67,6,72.0,0.0,6,0,0
68,6,72.0,0.0,6,0,0
69,6,72.0,0.0,6,0,0
70,6,72.0,0.0,6,0,0
71,6,72.0,0.0,6,0,0
72,,64.0,0.0,,,
73,,75.0,0.0,,,
74,2,110.0,1.0,2,0,0
75,9,275.0,26.0,2,0,0
76,,64.0,0.0,,,
77,,64.0,0.0,,,
78,,64.0,0.0,,,
79,,64.0,0.0,,,
80,,64.0,0.0,,,
81,16,464.0,110.0,0,0,0
82,11,292.0,50.0,1,0,0
83,1,106.0,0.0,1,0,0
84,15,268.0,267.0,0,0,0
85,15,531.0,4.0,14,0,0
86,15,458.0,77.0,0,0,0
87,15,458.0,77.0,0,0,0
88,15,456.0,79.0,0,0,0
89,15,458.0,77.0,0,0,0
