,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,5,6.0,69.0,0,5,0
1,5,7.0,69.0,0,5,0
2,3,7.0,48.0,0,3,0
3,3,18.0,17.0,0,3,0
4,8,74.0,1.0,7,0,0
5,5,6.0,69.0,0,5,0
6,5,6.0,69.0,0,5,0
7,5,6.0,69.0,0,5,0
8,5,6.0,69.0,0,5,0
9,2,27.0,0.0,2,0,0
10,2,37.0,0.0,2,0,0
11,5,52.0,0.0,5,0,0
12,2,15.0,10.0,0,1,1
13,2,25.0,0.0,2,0,0
14,2,25.0,0.0,2,0,0
15,2,25.0,0.0,2,0,0
16,2,25.0,0.0,2,0,0
17,2,25.0,0.0,2,0,0
18,10,116.0,0.0,10,0,0
19,10,127.0,0.0,10,0,0
20,12,122.0,0.0,12,0,0
21,20,237.0,0.0,20,0,0
22,8,34.0,82.0,0,8,0
23,10,116.0,0.0,10,0,0
24,10,116.0,0.0,10,0,0
25,10,116.0,0.0,10,0,0
26,10,116.0,0.0,10,0,0
27,23,0.0,245.0,0,23,0
28,22,0.0,255.0,0,22,0
29,10,25.0,102.0,0,10,0
30,22,245.0,10.0,16,0,0
31,22,0.0,255.0,0,22,0
32,22,0.0,255.0,0,22,0
33,22,0.0,255.0,0,22,0
34,22,0.0,255.0,0,22,0
35,22,0.0,255.0,0,22,0
36,16,0.0,324.0,0,16,0
37,12,0.0,273.0,0,12,0
38,16,0.0,554.0,0,16,0
39,16,0.0,324.0,0,16,0
40,15,1.0,323.0,0,15,0
41,16,0.0,324.0,0,16,0
42,16,0.0,324.0,0,16,0
43,16,0.0,324.0,0,16,0
44,16,0.0,324.0,0,16,0
45,14,2.0,552.0,0,14,0
46,11,2.0,271.0,0,11,0
47,23,1.0,540.0,0,23,0
48,24,0.0,541.0,0,24,0
49,23,1.0,540.0,0,23,0
50,23,1.0,540.0,0,23,0
51,23,1.0,540.0,0,23,0
52,23,1.0,540.0,0,23,0
53,23,1.0,540.0,0,23,0
54,29,351.0,2.0,27,0,0
55,27,333.0,12.0,20,0,0
56,15,178.0,2.0,13,0,0
57,29,351.0,2.0,27,0,0
58,29,353.0,0.0,29,0,0
59,25,174.0,179.0,0,0,0
60,29,351.0,2.0,27,0,0
61,29,351.0,2.0,27,0,0
62,29,351.0,2.0,27,0,0
63,15,177.0,3.0,12,0,0
64,27,329.0,16.0,22,0,0
65,14,151.0,5.0,9,0,0
66,13,79.0,77.0,0,0,1
67,14,156.0,0.0,14,0,0
68,14,151.0,5.0,9,0,0
69,14,151.0,5.0,9,0,0
70,14,151.0,5.0,9,0,0
71,14,151.0,5.0,9,0,0
72,6,89.0,9.0,5,0,0
73,9,92.0,3.0,9,0,0
74,10,122.0,20.0,8,0,0
75,14,255.0,102.0,4,0,0
76,6,96.0,2.0,5,0,0
77,6,88.0,10.0,5,0,0
78,6,89.0,9.0,5,0,0
79,6,89.0,9.0,5,0,0
80,6,89.0,9.0,5,0,0
81,20,409.0,107.0,3,0,0
82,15,288.0,61.0,1,0,0
83,12,142.0,1.0,11,0,0
84,13,170.0,328.0,0,0,0
85,16,456.0,42.0,9,0,0
86,16,406.0,92.0,3,0,0
87,16,406.0,92.0,3,0,0
88,16,406.0,92.0,3,0,0
89,16,406.0,92.0,3,0,0
