,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,3,0.0,207.0,0,3,0
1,4,0.0,159.0,0,4,0
2,4,2.0,286.0,0,4,0
3,3,137.0,70.0,1,0,0
4,3,2.0,205.0,0,3,0
5,3,0.0,207.0,0,3,0
6,3,0.0,207.0,0,3,0
7,3,0.0,207.0,0,3,0
8,4,245.0,43.0,2,0,0
9,4,139.0,20.0,2,0,0
10,5,14.0,293.0,0,4,1
11,5,230.0,77.0,0,0,0
12,5,262.0,45.0,2,0,0
13,5,262.0,45.0,2,0,0
14,5,262.0,45.0,2,0,0
15,5,262.0,45.0,2,0,0
16,4,306.0,115.0,0,0,0
17,4,267.0,102.0,1,0,0
18,3,91.0,25.0,2,0,0
19,4,0.0,421.0,0,4,0
20,4,300.0,121.0,0,0,0
21,4,306.0,115.0,0,0,0
22,4,306.0,115.0,0,0,0
23,4,306.0,115.0,0,0,0
24,3,0.0,116.0,0,3,0
25,4,0.0,369.0,0,4,0
26,3,161.0,56.0,0,0,0
27,3,0.0,217.0,0,3,0
28,3,0.0,217.0,0,3,0
29,3,0.0,217.0,0,3,0
30,3,0.0,217.0,0,3,0
31,3,0.0,217.0,0,3,0
32,2,0.0,242.0,0,2,0
33,2,0.0,169.0,0,2,0
34,2,0.0,262.0,0,2,0
35,2,0.0,242.0,0,2,0
36,2,0.0,242.0,0,2,0
37,2,0.0,242.0,0,2,0
38,2,0.0,242.0,0,2,0
39,2,0.0,242.0,0,2,0
40,2,0.0,262.0,0,2,0
41,2,0.0,169.0,0,2,0
42,2,0.0,277.0,0,2,0
43,2,0.0,277.0,0,2,0
44,2,0.0,277.0,0,2,0
45,2,0.0,277.0,0,2,0
46,2,0.0,277.0,0,2,0
47,2,0.0,277.0,0,2,0
48,5,183.0,175.0,3,0,1
49,5,155.0,167.0,1,0,3
50,5,221.0,258.0,2,0,0
51,5,183.0,175.0,3,0,1
52,5,183.0,175.0,3,0,1
53,5,358.0,0.0,5,0,0
54,5,183.0,175.0,3,0,1
55,5,183.0,175.0,3,0,1
56,5,479.0,0.0,5,0,0
57,5,322.0,0.0,5,0,0
58,2,341.0,0.0,2,0,0
59,2,341.0,0.0,2,0,0
60,2,171.0,170.0,2,0,0
61,2,341.0,0.0,2,0,0
62,2,341.0,0.0,2,0,0
63,2,341.0,0.0,2,0,0
64,2,302.0,18.0,1,0,1
65,1,330.0,24.0,0,0,1
66,3,157.0,20.0,3,0,0
67,2,0.0,320.0,0,2,0
68,2,291.0,29.0,1,0,1
69,2,302.0,18.0,1,0,1
70,2,302.0,18.0,1,0,1
71,2,302.0,18.0,1,0,1
72,3,0.0,177.0,0,3,0
73,1,0.0,354.0,0,1,0
74,4,208.0,52.0,3,0,1
75,4,0.0,260.0,0,4,0
76,4,0.0,260.0,0,4,0
77,4,0.0,260.0,0,4,0
78,4,0.0,260.0,0,4,0
79,4,0.0,260.0,0,4,0
